                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4054,                 4.5752,                 4.1449,                 0.0002,                0.05725,                0.00011,                  4e-05,                  3.328,                 5.0498,                 4.1902,             0.00065625,             0.00065625,             0.00065625
                      1,                 2.7844,                 3.2215,                 3.2147,                0.00269,                0.22424,                0.00364,                0.00128,                 2.6136,                 10.409,                 3.8098,              0.0012574,              0.0012574,              0.0012574
                      2,                 2.3572,                 2.4681,                 2.7649,                0.07068,                0.06107,                0.02102,                 0.0074,                 2.3274,                 4.9837,                 3.2708,              0.0017926,              0.0017926,              0.0017926
                      3,                 2.1432,                 2.0923,                 2.4943,                0.61646,                0.53149,                 0.5595,                0.26281,                 1.9444,                 2.1279,                  2.604,               0.001703,               0.001703,               0.001703
                      4,                 1.9708,                 1.8035,                  2.276,                0.06015,                0.62214,                0.05203,                 0.0252,                 1.8376,                 29.879,                  2.301,               0.001703,               0.001703,               0.001703
                      5,                  1.882,                 1.6097,                 2.1672,                0.70823,                 0.6355,                 0.6966,                0.36116,                 1.7506,                 1.8672,                 2.1747,               0.001604,               0.001604,               0.001604
                      6,                 1.7582,                 1.4963,                 2.0648,                0.79545,                0.69561,                0.78628,                0.42416,                 1.6215,                 1.6207,                 2.0588,               0.001505,               0.001505,               0.001505
                      7,                 1.7371,                 1.4104,                 2.0218,                0.67002,                0.68034,                0.74364,                0.38257,                 1.6909,                 1.5898,                  2.105,               0.001406,               0.001406,               0.001406
                      8,                 1.6588,                 1.3465,                 1.9283,                0.89352,                0.75859,                0.84921,                0.47572,                 1.5967,                 1.6673,                  1.979,               0.001307,               0.001307,               0.001307
                      9,                 1.6501,                  1.303,                 1.9503,                 0.8789,                0.80344,                0.86385,                0.48228,                 1.5961,                 1.7703,                 1.9017,               0.001208,               0.001208,               0.001208
                     10,                 1.6355,                 1.2865,                 1.9181,                0.88832,                0.76718,                0.85948,                0.48416,                 1.5461,                 1.2531,                 1.8981,               0.001109,               0.001109,               0.001109
                     11,                  1.577,                  1.276,                  1.862,                0.91919,                0.78531,                0.87334,                0.53044,                 1.4509,                 1.1538,                 1.8111,                0.00101,                0.00101,                0.00101
                     12,                  1.532,                 1.1776,                 1.8126,                 0.9596,                0.81393,                0.90208,                0.54638,                 1.4337,                 1.1456,                 1.7976,               0.000911,               0.000911,               0.000911
                     13,                 1.5112,                 1.1077,                 1.7854,                0.94842,                0.82458,                0.90809,                0.54794,                 1.4308,                 1.0236,                 1.7929,               0.000812,               0.000812,               0.000812
                     14,                 1.5129,                 1.0869,                 1.7861,                0.93666,                0.81839,                 0.8976,                0.53789,                 1.4572,                 1.0874,                 1.8294,               0.000713,               0.000713,               0.000713
                     15,                 1.4566,                 1.0935,                 1.7561,                0.94718,                0.83846,                0.90768,                0.57198,                 1.3425,                 1.0199,                 1.7216,               0.000614,               0.000614,               0.000614
                     16,                 1.4347,                 1.0586,                 1.7197,                0.94636,                0.84351,                0.91666,                0.56607,                 1.3384,                0.98578,                 1.7521,               0.000515,               0.000515,               0.000515
                     17,                 1.3868,                  1.016,                 1.7058,                0.92598,                0.85019,                0.92072,                0.57785,                 1.3108,                 0.9977,                 1.6833,               0.000416,               0.000416,               0.000416
                     18,                 1.4069,                0.99821,                  1.701,                0.96325,                0.85036,                0.93527,                0.60807,                  1.288,                0.89931,                 1.6624,               0.000317,               0.000317,               0.000317
                     19,                 1.3937,                0.96438,                  1.675,                0.95016,                 0.8626,                0.93868,                0.61269,                 1.2862,                0.85583,                 1.6586,               0.000218,               0.000218,               0.000218
